# template | category | section | notes | example
One experience that really stands out is [event].|Speaking personal experience phrases|Speaking|Highlight a memorable event.|One experience that really stands out is my first solo trip.
For me personally, [X] has always been [description].|Speaking personal experience phrases|Speaking|Personalised statement.|For me personally, music has always been a way to relax.
According to recent research, [finding].|Reading academic structures|Reading|Report findings with a source.|According to recent research, sleep improves memory.
The study found that [result], suggesting that [implication].|Reading academic structures|Reading|Findings plus interpretation.|The study found that exercise reduced stress, suggesting that activity benefits mental health.
This phenomenon can be explained by [reason].|Reading academic structures|Reading|Explain an observed effect.|This phenomenon can be explained by changes in climate.
There is a strong correlation between [X] and [Y].|Reading academic structures|Reading|State a statistical relationship.|There is a strong correlation between income and education.
It is widely acknowledged that [statement].|Reading academic structures|Reading|Present accepted knowledge.|It is widely acknowledged that smoking damages health.
Could you tell me [question], please?|Listening functional phrases|Listening|Polite request for information.|Could you tell me when the library opens, please?
I'd like to book [item] for [time].|Listening functional phrases|Listening|Making a reservation.|I'd like to book a table for two at seven.
Could you spell that for me, please?|Listening functional phrases|Listening|Asking for clarification of names.|Could you spell that for me, please?
The reference number is [number].|Listening functional phrases|Listening|Giving a reference, common in form-filling.|The reference number is BX four nine two.
There has been a marked improvement in [X] in recent years.|Writing Task 2 opinion|Writing Task 2|Describe positive change with evidence tone.|There has been a marked improvement in literacy in recent years.
Governments should take immediate action to [solution].|Writing Task 2 opinion|Writing Task 2|Recommend action.|Governments should take immediate action to reduce emissions.
Another point worth mentioning is that [point].|Writing Task 2 opinion|Writing Task 2|Add a supporting point.|Another point worth mentioning is that costs are falling.
This essay will discuss both views before giving my own opinion.|Writing Task 2 opinion|Writing Task 2|Standard discussion-essay thesis.|This essay will discuss both views before giving my own opinion.
There are several factors that contribute to [X].|Writing Task 2 cause/effect|Writing Task 2|Introduce multiple causes.|There are several factors that contribute to traffic congestion.
The most effective solution would be to [action].|Writing Task 2 cause/effect|Writing Task 2|Propose the best solution.|The most effective solution would be to invest in public transport.
Not only does [X] [benefit], but it also [second benefit].|Writing Task 2 advantage/disadvantage|Writing Task 2|Emphatic double advantage with inversion.|Not only does cycling improve health, but it also reduces pollution.
While [X] has its merits, it is not without limitations.|Writing Task 2 advantage/disadvantage|Writing Task 2|Balanced evaluation.|While technology has its merits, it is not without limitations.
Overall, the data indicates a clear upward trend over the period.|Writing Task 1 trend description|Writing Task 1|Summary sentence for an overview.|Overall, the data indicates a clear upward trend over the period.
The proportion of [X] fell dramatically, whereas that of [Y] remained stable.|Writing Task 1 comparison|Writing Task 1|Contrast a fall with stability.|The proportion of coal fell dramatically, whereas that of gas remained stable.
By [year], [X] had overtaken [Y] to become the most common [category].|Writing Task 1 comparison|Writing Task 1|Describe a crossover point.|By 2010, solar had overtaken wind to become the most common renewable source.
I'm particularly keen on [X] because [reason].|Speaking fluency phrases|Speaking|Express preference with a reason.|I'm particularly keen on photography because it gets me outdoors.
If I had to choose, I'd probably go for [option].|Speaking fluency phrases|Speaking|Make a choice naturally.|If I had to choose, I'd probably go for the mountains.
It goes without saying that [statement].|Writing Task 2 opinion|Writing Task 2|State something obvious for emphasis.|It goes without saying that health is more important than wealth.
A growing body of evidence suggests that [statement].|Reading academic structures|Reading|Cite accumulating evidence.|A growing body of evidence suggests that diet affects mood.
