# word | pos | persian | simpleEnglish | difficulty | sections | collocations | example
criteria|noun|معیارها|standards used to judge something|C1|R,W2|meet the criteria,strict criteria,selection criteria|Applicants must meet several criteria.
data|noun|داده‌ها|facts and statistics collected together|B1-B2|W1,R|collect data,raw data,data shows|The data reveals a clear seasonal pattern.
define|verb|تعریف کردن|to state the exact meaning|B1-B2|R,W2|clearly define,define a term,hard to define|It is difficult to define success precisely.
derive|verb|به دست آوردن / مشتق شدن|to get or obtain from a source|C1|R|derive from,derive benefit,derived from|The word derives from Latin.
distribution|noun|توزیع|the way something is shared out|B2-C1|W1,R|even distribution,distribution of,uneven distribution|The map shows the distribution of rainfall.
economic|adjective|اقتصادی|relating to the economy|B2|W2,R|economic growth,economic crisis,economic development|Economic growth slowed during the recession.
environment|noun|محیط زیست|the natural world; surroundings|B1-B2|W2,R|protect the environment,natural environment,harm the environment|Pollution seriously harms the environment.
establish|verb|تأسیس کردن / برقرار کردن|to set up or prove something|B2|R,W2|establish a link,well established,establish that|Scientists have established a clear link.
estimate|verb|تخمین زدن|to judge an approximate value|B2|W1,R|estimate the cost,roughly estimate,estimated at|Experts estimate the cost at one billion dollars.
evaluate|verb|ارزیابی کردن|to judge value after careful thought|B2-C1|R,W2|evaluate options,critically evaluate,evaluate evidence|We must evaluate the evidence carefully.
evident|adjective|آشکار / واضح|clear and easy to see|C1|R,W2|clearly evident,it is evident,become evident|It is evident that the policy failed.
framework|noun|چارچوب|a basic structure of ideas|C1|R,W2|legal framework,theoretical framework,framework for|The report sets out a clear framework.
function|noun|عملکرد / کارکرد|the purpose or role of something|B2|R|main function,perform a function,function of|The main function of the heart is to pump blood.
fundamental|adjective|اساسی / بنیادی|forming a necessary base|C1|R,W2|fundamental change,fundamental principle,fundamental to|Education is fundamental to development.
generate|verb|تولید کردن / ایجاد کردن|to produce or cause something|B2|R,W2|generate income,generate electricity,generate interest|Solar panels generate clean electricity.
hypothesis|noun|فرضیه|an idea to be tested|C1|R|test a hypothesis,support the hypothesis,form a hypothesis|The experiment supported the hypothesis.
identify|verb|شناسایی کردن|to recognise and name something|B2|R,W2|identify a problem,clearly identify,identify trends|The study identified three main causes.
implement|verb|اجرا کردن|to put a plan into action|C1|W2,R|implement a policy,successfully implement,implement changes|The government implemented strict new rules.
indicate|verb|نشان دادن|to show or point to something|B2|W1,R|indicate that,clearly indicate,results indicate|The figures indicate a growing problem.
individual|noun|فرد|a single person|B2|R,W2|each individual,individual rights,private individual|Every individual has a role to play.
integrate|verb|ادغام کردن / یکپارچه کردن|to combine into a whole|C1|R,W2|integrate into,fully integrate,integrate with|Immigrants gradually integrate into society.
interpret|verb|تفسیر کردن|to explain the meaning of|B2-C1|R|interpret data,interpret results,interpret correctly|The data can be interpreted in several ways.
investigate|verb|بررسی کردن|to examine carefully to find facts|B2|R|investigate a problem,thoroughly investigate,investigate further|Police are investigating the cause.
involve|verb|در بر گرفتن / شامل شدن|to include as a necessary part|B2|R,W2|involve risk,closely involved,involve doing|The job involves a lot of travel.
method|noun|روش|a way of doing something|B1-B2|R,W2|effective method,traditional method,method of|This method produces reliable results.
obtain|verb|به دست آوردن|to get something|B2-C1|R,W2|obtain information,obtain permission,easily obtain|Students can obtain a visa online.
occur|verb|رخ دادن|to happen|B2|R|frequently occur,occur naturally,errors occur|Earthquakes occur frequently in this region.
participate|verb|شرکت کردن|to take part in something|B2|S,R|participate in,actively participate,fully participate|Thousands participated in the survey.
perceive|verb|درک کردن|to notice or understand|C1|R,W2|perceive as,widely perceived,perceive a threat|People perceive risk differently.
period|noun|دوره / بازه زمانی|a length of time|B1-B2|W1,R|a period of,over the period,short period|Sales grew over a ten-year period.
policy|noun|سیاست / خط‌مشی|a plan of action by an organisation|B2|W2,R|government policy,public policy,implement a policy|The new policy reduced traffic congestion.
potential|noun|پتانسیل / توان بالقوه|the possibility to develop|B2|W2,R|great potential,potential for,realise potential|The region has great economic potential.
principle|noun|اصل|a basic rule or belief|B2-C1|R,W2|basic principle,in principle,guiding principle|The plan is based on a simple principle.
process|noun|فرآیند|a series of actions to an end|B1-B2|R,W2|a complex process,the process of,natural process|Learning a language is a slow process.
promote|verb|ترویج کردن / ترغیب کردن|to encourage or help develop|B2|W2,R|promote growth,promote health,actively promote|The campaign promotes healthy eating.
propose|verb|پیشنهاد دادن|to suggest a plan or idea|B2|W2|propose a solution,propose that,recently proposed|The author proposes a radical solution.
range|noun|دامنه / گستره|the limits within which things vary|B2|W1,R|a wide range,range of,price range|The shop offers a wide range of products.
region|noun|منطقه|a large area of land|B1-B2|W1,R|a remote region,coastal region,the region of|The southern region is the driest.
regulate|verb|تنظیم کردن|to control with rules|C1|W2,R|strictly regulate,regulate the market,heavily regulated|The industry is tightly regulated.
require|verb|نیاز داشتن / لازم بودن|to need something|B1-B2|R,W2|require attention,strictly required,require that|The task requires great patience.
research|noun|پژوهش / تحقیق|careful study to discover facts|B1-B2|R,W2|conduct research,recent research,research shows|Recent research suggests a strong link.
resource|noun|منبع|a useful supply of something|B2|W2,R|natural resources,limited resources,human resources|Water is a precious natural resource.
respond|verb|پاسخ دادن|to react or reply|B1-B2|R,S|respond to,quickly respond,respond positively|The government responded to public pressure.
role|noun|نقش|the function someone or something has|B1-B2|W2,R|play a role,a key role,a vital role|Teachers play a vital role in society.
sector|noun|بخش|a part of an economy or society|B2|W1,R|public sector,private sector,the energy sector|The service sector grew rapidly.
similar|adjective|مشابه|almost the same|A2-B1|W1,R|similar to,broadly similar,a similar way|The two graphs show a similar pattern.
source|noun|منبع|the place something comes from|B1-B2|R,W2|a reliable source,source of,energy source|Coal is a major source of pollution.
specific|adjective|خاص / مشخص|clearly defined; particular|B2|R,W2|a specific example,specific needs,be specific|Each region has specific needs.
structure|noun|ساختار|the way parts are arranged|B2|R,W2|social structure,a clear structure,sentence structure|The essay has a clear structure.
theory|noun|نظریه|a set of ideas to explain something|B2|R|in theory,a theory of,support a theory|The evidence supports the theory.
vary|verb|متفاوت بودن|to be different or change|B2|W1,R|vary widely,vary from,greatly vary|Prices vary widely between regions.
variable|noun|متغیر|something that can change|C1|R|a key variable,independent variable,control variables|Temperature is an important variable.
crucial|adjective|بسیار مهم / حیاتی|extremely important|B2-C1|W2,S|a crucial role,crucial factor,crucially important|Sleep is crucial for good health.
vital|adjective|حیاتی|necessary for success or life|B2|W2,S|vital role,vitally important,a vital part|Clean water is vital for survival.
essential|adjective|ضروری|completely necessary|B2|W2,S|absolutely essential,essential to,an essential part|Practice is essential for fluency.
beneficial|adjective|مفید|having a good effect|B2-C1|W2|highly beneficial,beneficial effect,mutually beneficial|Exercise is beneficial to mental health.
detrimental|adjective|مضر / زیان‌آور|causing harm|C1|W2|detrimental effect,detrimental to,highly detrimental|Stress is detrimental to health.
adverse|adjective|نامطلوب / مضر|negative or harmful|C1|W2,R|adverse effect,adverse conditions,adverse impact|The drug has adverse side effects.
prevalent|adjective|رایج / شایع|common in a particular area or time|C1|W2,R|widely prevalent,become prevalent,prevalent among|Obesity is increasingly prevalent.
widespread|adjective|گسترده|happening in many places|B2-C1|W2,R|widespread use,widespread support,become widespread|There is widespread concern about pollution.
prominent|adjective|برجسته / مهم|important and well known|C1|R,W2|a prominent figure,prominent role,highly prominent|She is a prominent scientist.
remarkable|adjective|قابل توجه / شگفت‌انگیز|unusual and surprising|B2-C1|S,W2|a remarkable achievement,remarkably similar,quite remarkable|The team made remarkable progress.
comprehensive|adjective|جامع|complete and thorough|C1|R,W2|comprehensive study,a comprehensive overview,comprehensive plan|The report gives a comprehensive overview.
extensive|adjective|گسترده|covering a large area or range|C1|R,W2|extensive research,extensive damage,extensive use|Extensive research supports this view.
sufficient|adjective|کافی|enough for a purpose|B2-C1|R,W2|sufficient evidence,sufficient funds,sufficient for|There is sufficient evidence to act.
adequate|adjective|کافی / مناسب|enough in quantity or quality|B2-C1|R,W2|adequate supply,perfectly adequate,adequate for|The funding was not adequate.
feasible|adjective|عملی / امکان‌پذیر|possible to do easily|C1|W2|technically feasible,a feasible solution,economically feasible|The plan is technically feasible.
viable|adjective|قابل اجرا / ماندگار|able to work successfully|C1|W2|a viable option,economically viable,commercially viable|Solar power is now a viable option.
inevitable|adjective|اجتناب‌ناپذیر|certain to happen|C1|W2|seemingly inevitable,an inevitable consequence,inevitable result|Some job losses are inevitable.
sustainable|adjective|پایدار|able to continue over time without harm|B2-C1|W2,R|sustainable development,environmentally sustainable,sustainable growth|We need sustainable energy sources.
efficient|adjective|کارآمد|working well without wasting resources|B2|W2,R|highly efficient,energy efficient,efficient use|Modern engines are far more efficient.
effective|adjective|مؤثر|producing the intended result|B1-B2|W2,S|highly effective,an effective way,prove effective|This is an effective way to learn.
diverse|adjective|متنوع|very different from each other|B2-C1|R,W2|culturally diverse,a diverse range,highly diverse|The city has a diverse population.
complex|adjective|پیچیده|made of many connected parts|B2|R,W2|highly complex,a complex issue,complex system|Climate change is a complex problem.
contemporary|adjective|معاصر|belonging to the present time|C1|R|contemporary society,contemporary art,contemporary issues|Contemporary society faces new challenges.
conventional|adjective|متعارف / مرسوم|traditional and ordinary|C1|R,W2|conventional methods,conventional wisdom,conventional approach|Conventional farming uses many chemicals.
controversial|adjective|بحث‌برانگیز|causing disagreement|B2-C1|W2|highly controversial,a controversial issue,controversial decision|It remains a controversial topic.
explicit|adjective|صریح / واضح|stated clearly and openly|C1|R|explicit instructions,make explicit,explicit reference|The rules are quite explicit.
coherent|adjective|منسجم|logical and well organised|C1|W2|a coherent argument,coherent structure,logically coherent|A good essay needs a coherent argument.
consistent|adjective|پایدار / یکنواخت|always behaving the same way|B2-C1|R,W2|consistent with,remarkably consistent,a consistent pattern|The results are consistent with earlier studies.
relevant|adjective|مرتبط|connected and important to the matter|B2|R,W2|highly relevant,relevant to,directly relevant|Please provide all relevant information.
reliable|adjective|قابل اعتماد|able to be trusted|B2|R|a reliable source,highly reliable,reliable data|We need reliable data to decide.
accurate|adjective|دقیق|correct and without errors|B2|R|highly accurate,accurate information,accurate measurement|The forecast was surprisingly accurate.
profound|adjective|عمیق|very great or intense|C1|W2,R|a profound effect,profound impact,profound change|The war had a profound effect on society.
robust|adjective|قوی / مستحکم|strong and effective|C1|W2,R|robust evidence,a robust system,robust economy|The study provides robust evidence.
abundant|adjective|فراوان|present in large quantities|C1|R,W2|abundant supply,abundant resources,abundant evidence|The region has abundant natural resources.
scarce|adjective|کمیاب|not enough; rare|C1|W2,R|scarce resources,become scarce,increasingly scarce|Clean water is becoming scarce.
enhance|verb|بهبود بخشیدن / تقویت کردن|to improve the quality of|C1|W2|enhance performance,greatly enhance,enhance quality|Technology can enhance learning.
facilitate|verb|تسهیل کردن|to make something easier|C1|W2,R|facilitate communication,greatly facilitate,facilitate access|The internet facilitates global trade.
mitigate|verb|کاهش دادن / تخفیف دادن|to make less severe|C1|W2|mitigate the effects,mitigate risk,help mitigate|Trees help mitigate air pollution.
alleviate|verb|تسکین دادن / کاهش دادن|to make a problem less serious|C1|W2|alleviate poverty,alleviate pain,help alleviate|The policy aims to alleviate poverty.
exacerbate|verb|تشدید کردن|to make a problem worse|C1|W2|exacerbate the problem,further exacerbate,exacerbate tensions|Cutting funding will exacerbate the issue.
undermine|verb|تضعیف کردن|to weaken gradually|C1|W2|undermine confidence,seriously undermine,undermine efforts|Corruption undermines public trust.
foster|verb|پرورش دادن / تقویت کردن|to encourage development|C1|W2|foster creativity,foster cooperation,foster growth|Schools should foster creativity.
hinder|verb|مانع شدن|to make progress difficult|C1|W2|hinder progress,seriously hinder,hinder development|Poor roads hinder economic growth.
accelerate|verb|تسریع کردن|to make happen faster|C1|W2,R|accelerate growth,rapidly accelerate,accelerate the process|New methods accelerate the process.
diminish|verb|کاهش یافتن|to become smaller or less|C1|W1,W2|gradually diminish,diminish over time,diminishing returns|Interest gradually diminished over time.
eliminate|verb|حذف کردن|to remove completely|B2-C1|W2|completely eliminate,eliminate poverty,help eliminate|We cannot eliminate risk entirely.
allocate|verb|تخصیص دادن|to give a share for a purpose|C1|W2|allocate resources,allocate funds,carefully allocate|The budget allocates funds to schools.
accumulate|verb|انباشته شدن / جمع شدن|to gather over time|C1|R,W2|accumulate wealth,gradually accumulate,accumulate evidence|Evidence has accumulated over decades.
anticipate|verb|پیش‌بینی کردن|to expect something|C1|W2,S|anticipate problems,widely anticipated,anticipate that|Analysts anticipate further growth.
attribute|verb|نسبت دادن|to say something is caused by|C1|W2,R|attribute to,commonly attributed,attribute success|Experts attribute the rise to better diet.
contribute|verb|کمک کردن / سهیم بودن|to help cause or add to|B2|W2|contribute to,significantly contribute,contribute towards|Cars contribute to air pollution.
demonstrate|verb|نشان دادن / اثبات کردن|to show clearly|B2|R,W2|clearly demonstrate,demonstrate that,demonstrate the need|The study demonstrates a clear link.
emerge|verb|پدیدار شدن|to appear or become known|C1|R,W2|emerge as,gradually emerge,emerge from|New evidence has emerged.
emphasize|verb|تأکید کردن|to give special importance|B2|W2,S|strongly emphasize,emphasize the importance,emphasize that|The report emphasizes the need for change.
encounter|verb|روبه‌رو شدن|to meet or experience|B2-C1|R,S|encounter problems,frequently encounter,encounter difficulties|Travellers often encounter language barriers.
exceed|verb|فراتر رفتن / تجاوز کردن|to be greater than|C1|W1,R|exceed expectations,exceed the limit,far exceed|Demand exceeded supply.
highlight|verb|برجسته کردن|to draw attention to|B2|W2,R|highlight the importance,clearly highlight,highlight a problem|The report highlights several risks.
illustrate|verb|نشان دادن / به تصویر کشیدن|to make clear with examples|B2|W1,R|illustrate the point,clearly illustrate,the graph illustrates|The graph illustrates changes in income.
impose|verb|تحمیل کردن / وضع کردن|to force something on others|C1|W2|impose a ban,impose restrictions,impose a tax|The government imposed strict limits.
justify|verb|توجیه کردن|to give a good reason for|C1|W2|justify a decision,hard to justify,fully justify|It is hard to justify the cost.
minimize|verb|به حداقل رساندن|to reduce to the smallest amount|B2-C1|W2|minimize risk,minimize the impact,help minimize|We should minimize waste.
prioritize|verb|اولویت دادن|to treat as most important|C1|W2,S|prioritize tasks,prioritize health,carefully prioritize|We must prioritize education.
reinforce|verb|تقویت کردن|to make stronger|C1|W2,R|reinforce the idea,reinforce stereotypes,strongly reinforce|The findings reinforce earlier results.
reveal|verb|آشکار کردن|to make known|B2|R,W1|reveal that,clearly reveal,studies reveal|The survey reveals a worrying trend.
restrict|verb|محدود کردن|to limit something|B2-C1|W2|restrict access,severely restrict,restrict movement|New rules restrict car use in the city.
retain|verb|حفظ کردن|to keep or hold|C1|R,W2|retain information,retain control,retain customers|It is hard to retain new vocabulary.
sustain|verb|حفظ کردن / ادامه دادن|to keep going over time|C1|W2|sustain growth,sustain interest,hard to sustain|It is difficult to sustain such growth.
tackle|verb|مقابله کردن با|to deal with a problem|B2|W2,S|tackle a problem,tackle climate change,effectively tackle|Governments must tackle climate change.
transform|verb|دگرگون کردن|to change completely|B2-C1|W2|transform society,radically transform,transform into|The internet has transformed communication.
undergo|verb|متحمل شدن / پشت سر گذاشتن|to experience a change|C1|R|undergo change,undergo training,undergo a transformation|The city has undergone major changes.
utilize|verb|به کار گرفتن|to use effectively|C1|W2,R|fully utilize,utilize resources,effectively utilize|We should utilize renewable energy.
witness|verb|شاهد بودن|to see something happen|B2-C1|R,W1|witness a change,witness growth,witness an increase|The decade witnessed rapid growth.
aspect|noun|جنبه|a particular part or feature|B2|R,W2|an important aspect,every aspect,a key aspect|Cost is just one aspect of the problem.
capacity|noun|ظرفیت / توانایی|the ability to hold or do|B2-C1|R,W2|the capacity to,full capacity,limited capacity|The stadium has a large capacity.
decade|noun|دهه|a period of ten years|B1-B2|W1,R|over the decade,the last decade,for decades|Prices doubled over the decade.
dimension|noun|بعد / جنبه|a part or aspect of something|C1|R,W2|a new dimension,add a dimension,every dimension|The issue has a political dimension.
domain|noun|حوزه / قلمرو|an area of activity or knowledge|C1|R|public domain,a particular domain,in the domain of|This is outside my domain of expertise.
emphasis|noun|تأکید|special importance given to something|B2-C1|W2|place emphasis,strong emphasis,with emphasis on|There is growing emphasis on health.
expenditure|noun|هزینه / مخارج|the act of spending money|C1|W1,R|public expenditure,total expenditure,reduce expenditure|Government expenditure rose sharply.
exposure|noun|قرارگیری در معرض|the state of being exposed to something|C1|R,W2|exposure to,prolonged exposure,media exposure|Exposure to sunlight provides vitamin D.
incentive|noun|انگیزه / مشوق|something that encourages action|C1|W2|a financial incentive,strong incentive,provide an incentive|Tax breaks act as an incentive.
infrastructure|noun|زیرساخت|basic systems of a country|C1|W2,R|public infrastructure,improve infrastructure,transport infrastructure|The country invested in infrastructure.
initiative|noun|ابتکار / طرح|a new plan to solve a problem|C1|W2|a new initiative,launch an initiative,government initiative|The green initiative reduced waste.
magnitude|noun|بزرگی / اهمیت|the great size or importance|C1|R,W2|the magnitude of,sheer magnitude,order of magnitude|The magnitude of the problem is clear.
norm|noun|هنجار|usual or expected behaviour|C1|R,W2|social norms,cultural norms,the norm|Remote work has become the norm.
outcome|noun|نتیجه|the result of an action|B2-C1|W2,R|the outcome of,a positive outcome,likely outcome|The outcome was better than expected.
paradigm|noun|الگو / سرمشق|a typical model or pattern|C2|R|a new paradigm,paradigm shift,dominant paradigm|This marks a paradigm shift in science.
scope|noun|دامنه / گستره|the range of a subject|C1|R,W2|the scope of,broad scope,beyond the scope|This is beyond the scope of the study.
spectrum|noun|طیف|a complete range of something|C1|R|a wide spectrum,across the spectrum,the full spectrum|Opinions cover a wide spectrum.
threshold|noun|آستانه|the level at which something begins|C1|R,W2|reach a threshold,a high threshold,pain threshold|Income passed a critical threshold.
transition|noun|گذار / انتقال|the process of changing|C1|W2,R|a smooth transition,transition to,period of transition|The transition to clean energy is slow.
welfare|noun|رفاه|the health and happiness of people|B2-C1|W2|social welfare,child welfare,welfare system|The state supports public welfare.
expertise|noun|تخصص|special skill or knowledge|C1|R,S|technical expertise,considerable expertise,lack expertise|The job requires technical expertise.
phenomenon|noun|پدیده|something observed to happen|C1|R,W2|a natural phenomenon,a common phenomenon,explain the phenomenon|Migration is a global phenomenon.
tendency|noun|گرایش / تمایل|a likelihood to behave in a way|B2-C1|W2,R|a tendency to,a growing tendency,natural tendency|There is a tendency to overspend.
implication|noun|پیامد / تلویح|a likely result or effect|C1|W2,R|serious implications,the implications of,wider implications|The decision has serious implications.
consequence|noun|پیامد / نتیجه|a result of an action|B2|W2|serious consequences,as a consequence,face the consequences|Pollution has serious consequences.
factor|noun|عامل|something that influences a result|B2|W2,R|a key factor,a major factor,contributing factor|Cost is an important factor.
benefit|noun|فایده / منفعت|an advantage or good effect|B1-B2|W2,S|major benefit,benefit from,reap the benefits|Exercise has many health benefits.
drawback|noun|عیب / نقطه ضعف|a disadvantage|B2|W2,S|a major drawback,the main drawback,a serious drawback|The main drawback is the cost.
advantage|noun|مزیت|a good feature that helps|B1|W2,S|a major advantage,take advantage,a clear advantage|Online learning has many advantages.
disadvantage|noun|عیب|a bad feature that causes problems|B1|W2,S|a serious disadvantage,the main disadvantage,at a disadvantage|One disadvantage is the lack of contact.
solution|noun|راه‌حل|a way to solve a problem|B1-B2|W2|a possible solution,find a solution,an effective solution|There is no easy solution.
issue|noun|مسئله / موضوع|an important topic or problem|B1-B2|W2,S|a major issue,address an issue,a key issue|Climate change is a global issue.
perspective|noun|دیدگاه|a particular way of viewing things|B2-C1|W2,S|from my perspective,a different perspective,a fresh perspective|From my perspective, both views have merit.
viewpoint|noun|نقطه نظر|a way of thinking about something|B2|W2,S|from a viewpoint,a different viewpoint,share a viewpoint|People hold different viewpoints on this.
attitude|noun|نگرش|a way of thinking or feeling|B1-B2|S,W2|a positive attitude,a negative attitude,attitude towards|Attitudes towards work are changing.
assumption|noun|فرض / گمان|something believed without proof|C1|R,W2|a common assumption,make an assumption,a false assumption|This rests on a false assumption.
evidence|noun|شواهد / مدرک|facts that prove something|B2|R,W2|strong evidence,clear evidence,evidence suggests|There is strong evidence for this claim.
cause|noun|علت / دلیل|the reason something happens|B1-B2|W2|the main cause,a leading cause,root cause|Smoking is a leading cause of disease.
effect|noun|اثر / تأثیر|a change caused by something|B1-B2|W2|a positive effect,have an effect,a lasting effect|Pollution has a harmful effect on health.
impact|noun|تأثیر|a strong effect|B2|W2|a major impact,have an impact,negative impact|Tourism has a huge impact on the economy.
influence|noun|نفوذ / تأثیر|the power to affect something|B2|W2,S|a strong influence,under the influence,have influence|Parents have a strong influence on children.
debate|noun|بحث / مناظره|a discussion of opposing views|B2|W2,S|a heated debate,ongoing debate,public debate|There is an ongoing debate about this.
controversy|noun|جنجال / بحث‌برانگیزی|public disagreement|C1|W2|cause controversy,surrounded by controversy,a major controversy|The decision caused great controversy.
majority|noun|اکثریت|the larger number or part|B2|W1,W2|the vast majority,a majority of,overwhelming majority|The vast majority support the plan.
minority|noun|اقلیت|the smaller number or part|B2|W1,W2|a small minority,a tiny minority,minority group|Only a small minority disagreed.
criterion|noun|معیار|a standard to judge by|C1|R,W2|the main criterion,meet a criterion,a key criterion|Cost is the main criterion here.
trait|noun|ویژگی / صفت|a feature of personality|C1|R,S|a personality trait,a common trait,inherited trait|Patience is a valuable trait.
transparency|noun|شفافیت|openness and honesty|C1|W2|greater transparency,financial transparency,lack of transparency|The public demands greater transparency.
acquire|verb|به دست آوردن / فراگرفتن|to get or learn something|B2-C1|R,S|acquire skills,acquire knowledge,gradually acquire|Children acquire language quickly.
adapt|verb|سازگار شدن|to change to fit a situation|B2|W2,S|adapt to,quickly adapt,adapt well|Animals adapt to their environment.
constitute|verb|تشکیل دادن|to form or make up|C1|R|constitute a threat,constitute a majority,collectively constitute|Women constitute half the workforce.
deteriorate|verb|بدتر شدن|to become worse|C1|W1,W2|rapidly deteriorate,deteriorate over time,conditions deteriorate|Air quality has deteriorated sharply.
diverge|verb|واگرا شدن / جدا شدن|to go in different directions|C2|R,W1|diverge from,sharply diverge,opinions diverge|The two trends began to diverge after 2005.
converge|verb|همگرا شدن|to come together|C2|R,W1|converge on,gradually converge,lines converge|The two lines converge near the end.
comprise|verb|شامل بودن / تشکیل شدن از|to consist of|C1|R,W1|comprise of,largely comprise,comprise several|The course comprises ten modules.
constrain|verb|محدود کردن|to limit or restrict|C1|W2|constrain growth,severely constrain,financially constrained|Budgets constrain what schools can offer.
correlate|verb|همبستگی داشتن|to have a connection|C1|R|correlate with,strongly correlate,closely correlate|Income correlates with education level.
augment|verb|افزایش دادن / تقویت کردن|to increase or add to|C2|W2|augment income,augment supply,greatly augment|Migrants augment the labour force.
ascertain|verb|معلوم کردن / مطمئن شدن|to find out for certain|C2|R|ascertain the cause,ascertain whether,difficult to ascertain|It is hard to ascertain the exact cause.
notion|noun|تصور / مفهوم|an idea or belief|C1|R,W2|the notion that,reject the notion,a vague notion|The notion that money brings happiness is questionable.
consensus|noun|اجماع / توافق|general agreement|C1|W2,R|reach a consensus,broad consensus,a growing consensus|There is a growing consensus on this issue.
discrepancy|noun|مغایرت / تفاوت|a difference that should not exist|C2|R,W1|a discrepancy between,a clear discrepancy,explain the discrepancy|There is a discrepancy between the two figures.
correlation|noun|همبستگی|a connection between things|C1|R|a strong correlation,positive correlation,a clear correlation|There is a strong correlation between the two.
disparity|noun|نابرابری / تفاوت|a great difference|C2|W2,R|income disparity,a wide disparity,growing disparity|There is a wide disparity in incomes.
proximity|noun|نزدیکی|nearness in space or time|C2|R|close proximity,in proximity to,proximity to|The hotel is in close proximity to the beach.
incidence|noun|میزان وقوع|the rate at which something occurs|C1|R,W2|a high incidence,the incidence of,low incidence|The incidence of disease has fallen.
prevalence|noun|شیوع|how common something is|C1|R,W2|the prevalence of,high prevalence,growing prevalence|The prevalence of smoking has dropped.
abundance|noun|فراوانی|a very large amount|C1|R|an abundance of,in abundance,sheer abundance|The area has an abundance of wildlife.
deficiency|noun|کمبود|a lack of something needed|C1|R,W2|a deficiency in,vitamin deficiency,a serious deficiency|A vitamin deficiency can cause illness.
surplus|noun|مازاد|an amount more than needed|C1|W1,R|a trade surplus,a budget surplus,produce a surplus|The country has a large trade surplus.
deficit|noun|کسری|a shortage, especially of money|C1|W1,R|a budget deficit,a trade deficit,reduce the deficit|The government reduced the deficit.
